PlanId,BenefitName,Copay,Deductible,Coinsurance,CoverageLevel
595,Physical Therapy,46.46371627067562,4732.875981843075,17%,Family
667,Vision,38.80279211230325,1343.812398204053,22%,Individual
630,Mental Health,34.254647719923355,4226.615741809465,15%,Individual
963,Vision,37.138958969323824,4506.987512612392,17%,Individual
162,Mental Health,27.66275742439728,3502.102053269511,10%,Individual
276,Prescription,34.310585512703945,4837.325349082037,17%,Family
434,Physical Therapy,40.30131905611191,4050.5610512114026,26%,Family
996,Mental Health,32.38027627803609,3445.5274246072026,20%,Individual
765,Prescription,29.620504639233797,4870.900090529088,12%,Individual
71,Dental,28.931010210044334,2250.5407890100846,12%,Individual
96,Primary Care,31.37475279260582,2028.2935575605952,27%,Individual
525,Specialist,26.872456905557524,1133.4267243448564,24%,Family
84,Dental,19.04185976463794,1676.0789506525693,20%,Family
679,Prescription,31.7457601986143,1424.7483452059696,30%,Individual
949,Primary Care,15.167052718380019,4607.366954879067,26%,Individual
245,Primary Care,27.867338694559656,3131.3633547954696,27%,Individual
693,Primary Care,38.6508269969946,3351.707995421739,28%,Individual
368,Mental Health,35.50047618993936,3682.7271282722613,22%,Individual
59,Prescription,43.036636884809475,2806.8915155788873,24%,Individual
503,Vision,16.202374609308055,4662.035205876079,18%,Individual
640,Vision,23.51795033621357,1977.1289237559943,20%,Family
624,Prescription,48.64171801759699,4854.283562480676,15%,Individual
249,Vision,36.54004769526257,1132.752041990977,24%,Family
866,Vision,27.485422158120137,1833.3745041398438,11%,Family
769,Specialist,10.287389526303272,2043.6435477204786,25%,Family
802,Primary Care,21.19900377850407,2892.4722609061373,16%,Individual
810,Dental,34.09011141101452,2592.841635401033,17%,Individual
809,Dental,49.891690376569485,2659.4009935299177,18%,Individual
942,Emergency,47.27555609232545,2756.9285854797936,27%,Individual
527,Physical Therapy,47.8251504094699,3927.8323078058843,16%,Individual
442,Mental Health,20.37000788633241,3793.3349555220752,25%,Individual
374,Primary Care,19.563753307458448,4885.359370002931,26%,Individual
313,Physical Therapy,39.39529740496324,3819.655772315939,15%,Individual
137,Primary Care,34.45153277940679,1371.5337207379484,19%,Family
650,Emergency,35.77658480001036,2176.9836676263685,27%,Individual
287,Specialist,15.56790570583415,2855.3746634051004,11%,Family
503,Dental,26.26562334515395,842.6753481736016,17%,Individual
728,Emergency,26.294871073297138,3728.190522607502,20%,Family
498,Prescription,38.17944916719388,3108.1335261579425,20%,Family
22,Dental,26.306509669936805,1282.5052584008656,28%,Individual
698,Physical Therapy,49.505767433623085,1348.3912790001077,30%,Family
677,Vision,11.370773497344736,1167.420412720673,25%,Individual
932,Emergency,21.50938077398818,1053.4874269138068,19%,Family
419,Dental,37.71944406207609,3622.34724693746,13%,Family
847,Vision,20.204127381444327,2343.847289012152,24%,Individual
328,Primary Care,49.95728725635054,2633.613241589609,21%,Family
718,Prescription,11.662694819000148,2421.7510110800913,14%,Family
848,Vision,38.064391510557485,2057.532597429413,19%,Individual
943,Physical Therapy,10.485735063044599,3803.6040722323496,17%,Family
210,Prescription,24.09793386450849,1788.761677386407,25%,Family
492,Emergency,16.703617631466617,4251.5872887063615,23%,Individual
51,Primary Care,48.154238253705614,2562.163417418894,16%,Family
309,Primary Care,19.63960347361855,835.7008494864747,10%,Individual
99,Mental Health,44.57750159655187,4234.808124428196,19%,Individual
517,Physical Therapy,25.851094088164214,3389.1575338964685,18%,Individual
163,Primary Care,44.001688302114076,4125.89121143115,30%,Family
689,Primary Care,44.02791422098427,3970.811036244852,14%,Family
493,Primary Care,25.615933135610543,981.4740541403606,13%,Family
816,Dental,20.290488253781906,2438.0925908462086,27%,Individual
891,Mental Health,37.09090289706666,2142.2787329438133,13%,Family
79,Vision,20.65469522016235,2106.309053195995,23%,Family
811,Specialist,28.41630704713519,748.9140560750398,24%,Family
925,Specialist,44.486383426707626,4890.963114665933,11%,Family
370,Dental,32.0583861940495,1941.8154363718927,29%,Individual
485,Physical Therapy,43.568311674609085,797.2259982925643,11%,Family
594,Specialist,31.507849775119702,2445.94043445123,26%,Family
940,Vision,10.791377225286233,1543.9901783877344,16%,Family
290,Dental,46.018214117856296,4523.005745554371,14%,Family
873,Dental,39.74165503504432,4505.058790697473,28%,Family
407,Primary Care,47.03499623513787,2218.0820532363887,22%,Individual
548,Specialist,17.48412965852087,2517.1835473767806,25%,Family
543,Vision,40.527867302960715,3539.7529492489266,21%,Family
364,Dental,46.51151875825113,3033.077913692429,22%,Family
708,Dental,10.927949592936109,3493.423992883308,13%,Family
86,Emergency,42.98089190243673,4063.8481392116205,12%,Individual
778,Dental,27.80401537403867,731.2785308022294,10%,Family
907,Mental Health,44.94623294211199,4362.911168365643,22%,Family
560,Specialist,35.420446893018706,4263.687409535194,22%,Family
957,Specialist,12.790653866781604,2945.628547004601,23%,Family
412,Emergency,27.624672513957975,2805.4656897602954,21%,Family
919,Mental Health,16.44231191474504,4947.158161626808,12%,Family
474,Physical Therapy,45.3947538898584,3350.7114853720973,15%,Individual
665,Dental,27.236337110913013,1977.4378494213875,12%,Family
93,Dental,26.128840300490843,1330.6226545575737,15%,Individual
902,Primary Care,38.88646602329115,4941.872734149223,28%,Family
236,Dental,27.426789572297196,4638.215965917143,29%,Individual
977,Specialist,32.05088854514369,4165.023123775702,22%,Individual
362,Dental,47.81397258704052,834.9297978584,17%,Individual
359,Vision,14.384174580407674,2489.5942130123394,22%,Family
653,Mental Health,30.998704547982044,2896.186693954393,12%,Family
749,Dental,29.359537623007586,2627.426385244973,25%,Individual
818,Vision,10.072230285275205,4159.832527515786,17%,Individual
192,Primary Care,28.110631217756428,1073.8876112487424,16%,Family
446,Primary Care,13.180181517285764,1803.4497685149288,15%,Family
508,Mental Health,26.557880983113723,2150.443108532244,18%,Family
165,Primary Care,31.51105725198772,3735.659734352104,30%,Individual
744,Primary Care,24.886254849031978,1065.7621531892278,14%,Family
669,Dental,10.29495424566469,2197.296604817039,23%,Individual
587,Mental Health,23.915000079377187,816.9420593452753,17%,Individual
255,Specialist,13.25040718515706,2017.0529594048896,12%,Individual
200,Primary Care,49.156889822319066,2342.767586800939,12%,Individual
947,Specialist,26.578769449786314,1508.8865135551423,24%,Individual
733,Vision,43.485043705143546,2283.3384777388587,10%,Individual
331,Physical Therapy,41.63723147771348,4940.037037638072,23%,Family
12,Specialist,13.205665250568774,2661.117566177837,26%,Individual
664,Primary Care,35.50839828419799,2262.659596002944,18%,Individual
69,Physical Therapy,33.43351873122947,4670.420754202206,21%,Family
121,Emergency,39.50824757415365,3895.179244099452,13%,Family
200,Emergency,36.90687273298032,1131.8744799631963,28%,Individual
317,Dental,23.446710559900513,3606.2181102737904,20%,Individual
397,Prescription,11.837502851543178,2834.227901894049,10%,Individual
599,Physical Therapy,23.01133873745512,579.1255636861415,26%,Individual
216,Prescription,48.396124604287756,4117.197877440889,21%,Family
561,Dental,38.32135796592729,4019.8585820711655,22%,Family
572,Mental Health,10.225693602015982,4342.222566318775,10%,Individual
524,Physical Therapy,30.722199685522238,3045.39550650333,23%,Family
551,Mental Health,31.405547218273075,4772.43895902594,18%,Individual
290,Physical Therapy,32.29341188563615,3845.2010286227514,22%,Individual
675,Prescription,16.97089691160582,2538.0291076618364,22%,Individual
473,Mental Health,31.51335626755523,2587.7225571640715,26%,Family
57,Prescription,31.745364504729476,3402.017183935477,15%,Individual
794,Emergency,28.712746777864435,2941.7757992439438,16%,Individual
175,Specialist,23.45129935290388,3156.732004057069,11%,Family
998,Mental Health,46.928686478022584,4402.587462250659,20%,Family
108,Dental,25.325538353451794,3277.085118347333,19%,Individual
483,Vision,39.22750392458619,2484.976937780168,18%,Family
838,Mental Health,46.78034858991851,548.9063469434269,23%,Individual
603,Vision,48.49792585462728,4492.082785848237,29%,Family
936,Vision,33.553616272329634,4536.7411887533,15%,Individual
597,Prescription,28.016808648224213,2272.5334981807882,22%,Family
478,Dental,38.12168627434346,3261.998043422104,16%,Family
36,Dental,20.83273996680321,1063.8252587993497,14%,Individual
483,Specialist,19.62400983550181,1722.8282828613196,28%,Individual
423,Physical Therapy,27.72134499208213,4310.663557695037,29%,Family
849,Vision,34.26050219518926,1886.0411863505383,23%,Family
339,Dental,49.94813151464668,2929.800354866069,27%,Individual
891,Dental,29.877774327420376,1308.2695623722639,21%,Individual
355,Primary Care,22.269789509322024,1097.0221511794748,21%,Individual
494,Dental,43.67296123615062,2558.7711960354213,25%,Individual
578,Mental Health,41.454378889863705,4916.549509467252,16%,Individual
689,Mental Health,23.42770890749498,3555.3945818088127,19%,Family
932,Emergency,42.355410458629464,2320.9513585393124,17%,Family
957,Mental Health,28.273680812614693,3163.4026393026043,22%,Family
85,Primary Care,34.43027528287999,1520.416756335026,11%,Individual
37,Physical Therapy,21.794729844388705,2313.2379856202997,27%,Family
982,Vision,34.61152886906694,1653.9127148328496,22%,Family
156,Mental Health,40.73659437500001,4578.192597099439,13%,Individual
827,Physical Therapy,44.94075139492422,3129.183520884456,29%,Family
113,Mental Health,48.40639989359989,4466.484041316997,20%,Family
95,Primary Care,25.90728967011069,1534.109057789046,16%,Family
828,Mental Health,30.2731043699917,3894.382380224049,12%,Individual
913,Specialist,40.62488538295807,630.307691713293,19%,Family
578,Dental,36.52909541685574,765.4099904116675,14%,Family
584,Primary Care,42.5301639566405,4029.4029408984,21%,Individual
768,Prescription,15.922545173290734,2590.809603258327,24%,Family
539,Emergency,12.32462084340709,4016.4676362840873,25%,Family
654,Prescription,45.19279243034441,2547.796919424922,14%,Individual
128,Dental,15.58068516516251,2840.0781821919327,10%,Individual
779,Specialist,42.3143963486037,3699.2070623465647,20%,Individual
927,Prescription,42.48840342529554,4538.816793745804,30%,Family
57,Mental Health,39.32669201680092,1478.2767064993245,29%,Individual
398,Emergency,27.50825127611261,880.61316743028,13%,Individual
80,Emergency,20.516675454255306,4857.629470022111,13%,Family
792,Specialist,30.799925763687362,3955.9974651293373,21%,Individual
749,Specialist,46.80216003450283,3677.9067877429507,29%,Individual
591,Primary Care,11.44909952963764,588.583514307135,29%,Family
213,Dental,30.017981261146744,4248.597113176691,11%,Family
388,Specialist,24.383154686221324,585.6186332339006,15%,Individual
99,Prescription,36.593535597888476,2191.296274920169,16%,Individual
579,Vision,27.696257857235853,4630.62925560351,21%,Individual
456,Dental,49.28692525978615,2010.41875232167,11%,Family
571,Emergency,38.522558104523554,3774.1084388716104,18%,Family
609,Physical Therapy,23.962323085600538,1424.3416027061971,11%,Individual
761,Prescription,18.329649337199058,1807.3559351424317,16%,Family
950,Emergency,18.097809343796996,2345.9566624344175,17%,Individual
188,Dental,30.35824337389981,4780.476656267575,14%,Individual
498,Emergency,35.65816441241836,1086.8517114619963,14%,Individual
430,Prescription,38.6602913746749,2151.2359097715453,25%,Individual
964,Emergency,16.767650410912616,4037.6009261123095,29%,Family
711,Physical Therapy,47.507471458687256,2006.0697141323924,29%,Individual
688,Specialist,46.55261684183887,1337.7723764408383,25%,Individual
439,Dental,14.245494724300478,3920.358563049764,27%,Family
814,Dental,24.008928862814727,1531.8062064943824,18%,Individual
579,Emergency,23.11671406346234,519.8560942939706,20%,Family
94,Physical Therapy,11.12649461874609,711.700882213791,14%,Family
641,Physical Therapy,19.643638701121716,3624.816074971955,15%,Individual
166,Prescription,12.129947899479689,1566.68057901695,17%,Individual
276,Emergency,14.32432580911971,2336.4156511728133,15%,Individual
693,Physical Therapy,42.643507322747986,1368.5490623961637,18%,Family
846,Emergency,46.71775611996094,709.3552748713203,29%,Individual
519,Prescription,20.018761116989022,4449.478048334269,24%,Family
197,Dental,16.119582213080164,4305.7180957972905,28%,Family
717,Prescription,14.882359322279722,1805.3543094468482,10%,Individual
672,Primary Care,36.39201307719581,4408.048462447208,28%,Individual
701,Physical Therapy,24.756320027699683,1437.5086858791426,17%,Family
816,Primary Care,43.16558882090665,3053.1142491716,28%,Individual
670,Primary Care,27.97563669557266,986.3828618920513,21%,Individual
809,Mental Health,49.625173442570905,3832.0277541765545,22%,Individual
335,Physical Therapy,12.717091750394856,3275.7507626555716,11%,Family
186,Emergency,12.140353826102821,4375.010913017983,23%,Family
852,Physical Therapy,34.40819613039933,3810.4410308497822,19%,Family
991,Mental Health,20.28211911396301,2539.105990596382,28%,Individual
432,Dental,14.697568065561155,4779.668400788349,20%,Family
835,Emergency,25.941448264933502,3131.7274354148394,14%,Individual
961,Specialist,43.272764631057704,4836.49197637701,16%,Individual
609,Specialist,34.923821320307795,2510.0397127384676,29%,Individual
144,Mental Health,24.845283606062786,1124.4155718838983,23%,Family
446,Specialist,45.75881092479195,2365.4934730300815,20%,Individual
614,Vision,16.659707563362254,1531.4804034075203,22%,Individual
1,Emergency,43.42497524980733,1902.600600029587,20%,Individual
500,Vision,29.873465357307765,3494.8582091907306,15%,Family
264,Dental,10.276232770378012,2730.2588089006435,13%,Individual
271,Physical Therapy,13.645228730814187,3992.7151828561814,29%,Family
491,Specialist,42.020626801527605,966.3044571912458,16%,Individual
511,Dental,10.69981583109914,2834.614257687288,29%,Individual
384,Specialist,12.922676942633604,4816.27812197206,21%,Family
981,Dental,34.1868892448615,4965.356465854198,10%,Family
876,Emergency,34.997263889445556,2647.480291283017,16%,Family
54,Emergency,13.425068699945948,2687.108653100579,11%,Individual
220,Mental Health,47.133971821335784,838.4322994180294,28%,Family
670,Dental,40.476453255794816,508.5836135652288,22%,Individual
646,Primary Care,31.09532110361407,889.0140878751374,26%,Individual
794,Primary Care,28.465117906120465,2492.9259421012266,11%,Individual
200,Specialist,14.88086397691574,3484.0705991501654,23%,Individual
284,Dental,12.527399685356455,2458.8436955321986,28%,Family
443,Physical Therapy,35.22276379843139,3293.967030556761,24%,Family
587,Physical Therapy,27.492469053593464,3133.321566160505,28%,Family
346,Prescription,44.652396997984155,1301.1560959434378,14%,Individual
14,Prescription,29.343144210619215,3432.0537297648034,16%,Individual
16,Prescription,16.498670677068297,2656.48510202809,26%,Individual
18,Emergency,31.38659275101467,2008.3161816934858,19%,Individual
338,Specialist,48.161680277504864,3428.5489985649206,20%,Individual
821,Mental Health,42.658985515469226,1480.0412334294992,10%,Individual
158,Vision,27.838699149049546,4554.833524487642,24%,Family
280,Specialist,38.97397423698887,2794.9024507570734,12%,Family
568,Primary Care,25.255261095644993,3543.133692216393,15%,Individual
682,Dental,38.11744067103609,3723.2589248227923,29%,Individual
981,Vision,17.23099820889683,2195.0890788957577,27%,Individual
122,Emergency,43.63653843024866,3558.97984515736,29%,Family
758,Mental Health,27.6732571615149,1250.150277668402,15%,Individual
497,Physical Therapy,13.68767514951398,3382.3470707143742,24%,Individual
98,Vision,39.50495259274999,4665.026478327199,21%,Family
801,Mental Health,23.999132709477045,4487.007708883858,20%,Family
893,Specialist,39.203360385526764,3393.778965444211,14%,Family
52,Physical Therapy,17.690314155812793,2154.447195297387,11%,Individual
659,Emergency,15.254012779923244,3423.5148357233306,18%,Individual
980,Dental,41.03269857177746,2609.084198121646,19%,Family
329,Specialist,42.59911242471333,2409.80002650812,29%,Family
410,Vision,33.531022848090714,2324.437764386401,27%,Individual
726,Mental Health,13.621892578422393,2464.908162402572,22%,Family
830,Emergency,42.14152814896188,4759.484938225918,18%,Family
737,Physical Therapy,35.91319089175889,2118.5843474603516,29%,Family
848,Physical Therapy,14.618127365401715,2451.844933392952,29%,Individual
313,Specialist,42.66687391615224,1767.3027320379383,29%,Individual
627,Vision,39.982924991438566,1653.1099055472337,26%,Individual
193,Dental,40.86181059911026,2201.281977300787,24%,Individual
356,Physical Therapy,12.816293683420007,2092.834365807082,20%,Individual
962,Prescription,26.23306546785544,1362.2219674426415,27%,Individual
291,Vision,11.151335470797822,2336.181498640492,18%,Individual
863,Primary Care,18.43361572042832,4392.620281944786,12%,Family
718,Vision,45.20671043794601,3122.379006916178,21%,Family
401,Specialist,29.84076209564444,4160.009736904829,25%,Individual
929,Physical Therapy,18.7921739744327,2630.626346074183,15%,Individual
99,Primary Care,10.924959721068653,4298.21589059994,24%,Family
123,Prescription,18.972530899494746,1667.7203217624672,15%,Individual
403,Prescription,22.572640240299677,4179.301572424274,27%,Individual
964,Dental,34.68847265389103,4872.1956423211,17%,Individual
815,Primary Care,46.48128122493999,3313.4260871119777,22%,Family
841,Dental,23.50981527625144,2861.8975069353614,13%,Individual
145,Emergency,19.670287244729067,729.1736382931978,16%,Individual
109,Specialist,14.258644751580952,4569.914459481806,20%,Individual
198,Primary Care,45.967144094897826,3725.8776032668407,16%,Family
999,Prescription,12.760943023268991,2344.451972089055,18%,Family
969,Dental,49.73635076352659,3030.787377255413,14%,Family
670,Vision,35.56423243554314,4401.007742798553,23%,Family
926,Emergency,17.30226381891368,4786.983862137607,29%,Family
213,Dental,16.748333073219307,1706.8704421084567,16%,Individual
547,Dental,47.716820436226584,853.4280703409706,28%,Family
513,Primary Care,42.53095045171092,4350.847080471389,20%,Individual
855,Mental Health,44.56626911937208,719.6824161972811,22%,Individual
937,Primary Care,32.188896484204534,3069.0875849112012,29%,Individual
349,Mental Health,48.166222870933886,4549.377303368046,27%,Individual
852,Prescription,26.867591480691964,1397.8994656461994,15%,Individual
468,Physical Therapy,26.894663150647826,4497.806806376555,24%,Family
403,Prescription,32.12417136392978,3081.2625046235,19%,Family
998,Physical Therapy,18.73368947106726,2844.8401962434004,21%,Family
607,Primary Care,35.88098533423026,3422.46549950058,11%,Family
335,Mental Health,11.527631683049364,2346.876068133858,10%,Individual
171,Mental Health,37.05830135981569,2820.1729995409473,20%,Family
534,Primary Care,40.95520436324137,2308.512847382475,14%,Family
838,Physical Therapy,20.88605602983528,3986.1196274578692,26%,Individual
97,Dental,24.292526736563712,2716.185018943507,15%,Family
845,Primary Care,20.34633034308733,2211.3419448356017,23%,Family
963,Dental,41.742037775935756,2657.8626702689053,22%,Family
601,Primary Care,18.003789587836554,4049.430051076375,22%,Family
336,Dental,48.89818141913362,2443.6877084674243,21%,Family
436,Vision,18.142070139516363,4757.51952305819,29%,Family
959,Prescription,34.81057219115553,3387.4877530286044,30%,Individual
951,Specialist,10.00682747742379,4279.411948699808,23%,Family
376,Prescription,24.274945266074344,1569.7164473489538,25%,Family
563,Physical Therapy,37.245639805640835,4586.1794906607665,13%,Individual
266,Prescription,49.32222763043792,4584.99473287284,14%,Individual
557,Prescription,44.63583866017069,1212.5479867746474,25%,Individual
881,Specialist,21.29438068535294,2516.680264331141,17%,Individual
80,Physical Therapy,11.185694888601851,1845.958623870386,17%,Family
411,Vision,33.654988026854454,2372.205919567945,28%,Individual
742,Primary Care,18.884276223344685,4594.473070931245,22%,Family
588,Primary Care,48.82849309425096,4247.52769841818,16%,Individual
823,Emergency,22.621251808851632,4242.752386385826,15%,Family
720,Primary Care,18.951923415635687,4413.133954613551,19%,Individual
193,Physical Therapy,39.0313708898199,1138.5369032510466,14%,Family
360,Vision,11.751909286553941,3006.965115306525,14%,Family
664,Dental,12.779669541891314,3817.490917390912,19%,Individual
498,Specialist,38.5974699230468,538.0518574079979,21%,Family
349,Primary Care,44.62435144967189,3193.821090200643,27%,Family
867,Vision,48.72250406884013,4953.816265002312,13%,Family
41,Physical Therapy,27.442342135580923,2163.7689267816427,12%,Individual
93,Physical Therapy,14.486611604438394,586.5799821604129,14%,Individual
445,Emergency,11.491518241312964,1465.9877541547442,13%,Individual
452,Emergency,27.227366125480195,2382.15595723117,25%,Family
577,Specialist,16.54225921629949,4876.19916040236,21%,Individual
560,Emergency,47.32259599748343,1127.0023578918922,17%,Individual
474,Dental,41.7480924967317,3375.9811600542434,25%,Individual
275,Physical Therapy,30.238881982385077,2613.050889418841,12%,Individual
379,Emergency,47.25592534525155,4161.703734334314,17%,Individual
464,Dental,49.69574373163909,4689.902543731572,26%,Family
764,Dental,17.438229766038432,4999.68665184556,13%,Family
131,Prescription,10.323770502561281,1470.3899046335864,19%,Individual
679,Vision,43.13658024139078,894.5843367810178,14%,Individual
980,Emergency,43.67967404540757,1466.5599449779413,21%,Individual
942,Emergency,30.446300016164926,4678.534644841618,12%,Individual
855,Mental Health,36.31939998379198,2899.802103668658,17%,Family
372,Dental,11.513393099635802,3917.7731113197488,16%,Individual
533,Emergency,25.221301066380086,1627.931929296875,14%,Family
983,Mental Health,24.88504571710832,2348.6894891528136,14%,Family
420,Primary Care,32.85949430844464,2421.880555550533,19%,Individual
898,Dental,16.754838514008867,2925.1524604803517,28%,Family
338,Specialist,10.701966833470564,4132.077815679882,15%,Individual
319,Physical Therapy,47.824665251239466,3193.2798967486187,25%,Family
282,Prescription,28.286464111090012,4615.654263274691,21%,Individual
597,Prescription,45.674230294733775,1983.6478442530326,14%,Individual
790,Prescription,20.621001342811365,539.0061048269612,26%,Individual
60,Specialist,23.729208016218063,1363.6160438807606,13%,Family
246,Dental,32.713121107664634,4559.948362341897,25%,Individual
379,Dental,14.561802043809596,1132.8746299599838,21%,Family
411,Physical Therapy,19.39212753988444,4425.675249896357,21%,Individual
66,Primary Care,33.92386286893192,4876.271307420701,17%,Family
671,Physical Therapy,49.934671423019886,2055.242450698246,22%,Family
230,Prescription,21.029554296302244,4676.658502965907,29%,Individual
493,Vision,18.77351162808307,3170.9244385402926,14%,Family
297,Vision,21.089883092707275,3726.9973589265637,18%,Individual
514,Prescription,23.862619891116232,3093.224296198234,17%,Family
966,Physical Therapy,25.922122675237777,4792.604031677535,30%,Family
767,Mental Health,18.9688519687355,1225.459917537668,23%,Family
436,Specialist,49.248145668755356,2860.2505468151044,12%,Individual
184,Mental Health,16.84119063863963,2055.738418481371,22%,Family
358,Prescription,42.6699639302501,1443.9706412430003,26%,Individual
688,Mental Health,16.983476440587857,3782.935649515824,30%,Family
399,Primary Care,37.555429045836476,1604.5036135610476,17%,Individual
452,Dental,31.811640573206155,762.5232839587627,20%,Individual
757,Prescription,10.491606094631646,3950.6227527704605,16%,Individual
736,Prescription,42.8184906862445,3578.7733236839686,16%,Family
194,Specialist,33.47479009895793,707.0825196402006,23%,Family
887,Mental Health,33.7734979160545,1921.752712482311,27%,Individual
68,Prescription,12.480202979764524,2725.608257354899,18%,Family
46,Prescription,40.62371674906481,1001.2601012183293,30%,Individual
722,Specialist,23.652922766910365,2540.3141587150894,20%,Individual
859,Dental,45.24277504466309,2452.6257692047598,23%,Family
434,Prescription,41.523759711539896,1520.9120653949271,10%,Individual
256,Primary Care,16.84327430788207,1742.0873393710456,13%,Individual
127,Primary Care,46.99556158435726,4113.949372956791,23%,Family
134,Mental Health,24.096495232870275,1454.7775041050231,18%,Individual
511,Primary Care,17.879357338265898,4775.9048550729685,19%,Individual
55,Primary Care,45.98048807550923,3404.8924479653156,26%,Family
718,Physical Therapy,33.550027524020635,4746.02985970821,21%,Family
791,Specialist,24.70363062755176,4006.0788567981954,27%,Family
342,Primary Care,37.77173790573339,3613.3451781001577,29%,Individual
724,Vision,37.24339638011671,4907.085704772861,12%,Individual
847,Vision,33.2011973580676,4250.7944861505275,27%,Individual
569,Vision,49.66615994950931,2201.8109854313907,29%,Individual
22,Mental Health,19.40457832723527,4647.146920697867,25%,Individual
848,Physical Therapy,38.127986160159125,1043.8617063317033,12%,Individual
147,Vision,15.316340110594076,1123.0132951245523,25%,Family
20,Emergency,25.660883357216726,1370.6995455756846,19%,Individual
385,Emergency,39.89064253412471,1935.6081024456314,17%,Family
993,Primary Care,18.104861482645834,1859.4487506384164,19%,Family
754,Mental Health,22.21725160255849,1553.066416169358,10%,Individual
19,Physical Therapy,14.813739236005912,1286.1422970360113,29%,Individual
923,Prescription,24.563877004486603,4520.7830635033015,30%,Individual
761,Prescription,26.726437158118355,2965.5113510405263,21%,Family
94,Emergency,23.983548462695854,1279.7135273513395,12%,Family
605,Dental,49.48495130721547,4281.1049545074675,30%,Individual
379,Mental Health,22.89274777849822,2372.649290459533,28%,Family
489,Dental,13.831303822674105,3516.7454845056104,17%,Individual
613,Mental Health,20.482563937902214,1755.590260274156,17%,Individual
417,Physical Therapy,37.76225862892035,3855.156314044413,21%,Family
753,Emergency,14.556793262363064,4553.116931026193,10%,Individual
500,Specialist,11.71096571063675,1665.4523590409663,25%,Family
253,Primary Care,33.60453135854704,1431.7284209290353,13%,Family
948,Prescription,34.01459143521841,1025.6569746979008,12%,Family
427,Primary Care,26.037862355725373,4088.2998550035577,14%,Individual
911,Dental,25.323867050383132,1762.0685121338488,14%,Family
748,Emergency,43.348041267934676,2398.737602391875,28%,Family
464,Primary Care,25.625109085125924,1578.4516627421679,27%,Individual
872,Emergency,28.97107388406003,4160.982857622235,16%,Family
221,Mental Health,32.06901025944914,1847.7330543235623,14%,Individual
486,Emergency,17.623666423986563,1337.3233387115215,12%,Family
34,Dental,11.756950177526706,1495.332757393416,25%,Individual
258,Primary Care,10.781016180860279,3564.0340035584213,25%,Family
483,Physical Therapy,47.09983930375946,4319.262650607445,28%,Individual
315,Dental,21.43634705690543,4606.116576783509,16%,Family
563,Dental,47.51003069273332,2070.719077101728,17%,Family
662,Mental Health,45.99912850318075,1003.6557905910313,12%,Family
980,Emergency,18.112044363741482,3048.193995924628,27%,Family
508,Emergency,25.255510177951074,2959.371951982993,28%,Family
650,Emergency,12.29223305475208,3174.5643464914483,12%,Individual
895,Primary Care,14.519884502368448,2123.5460568290137,15%,Family
146,Mental Health,30.014509078415724,2751.725404596904,24%,Individual
