PlanId,PlanMarketingName,MetalLevel,PlanType,MarketCoverage,ChildOnlyOffering,IsHSAEligible,IsNewPlan,IsGuaranteedRate,WellnessProgramOffered,DiseaseManagementProgramsOffered,OutOfCountryCoverage,OutOfServiceAreaCoverage,SpecialistRequiringReferral,IssuerActuarialValue,StateCode,ServiceAreaId,NetworkId,StandardComponentId,DentalOnlyPlan,IsNoticeRequiredForPregnancy
26,Plan 26,Bronze,PPO,Family,Yes,No,No,Yes,Yes,No,Yes,No,No,73.6%,MI,FLS001,MIN001,000026,No,Yes
27,Plan 27,Platinum,EPO,Individual,Yes,Yes,Yes,No,No,Yes,No,Yes,No,71.5%,MI,TXS001,FLN001,000027,Yes,No
28,Plan 28,Bronze,PPO,Individual,Yes,No,No,Yes,No,No,Yes,No,No,62.4%,IL,MIS001,TXN001,000028,Yes,No
29,Plan 29,Bronze,HMO,Individual,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,84.3%,NC,GAS001,OHN001,000029,Yes,Yes
30,Plan 30,Silver,EPO,Child-only,No,Yes,No,No,Yes,Yes,No,Yes,No,85.4%,OH,CAS001,TXN001,000030,Yes,Yes
31,Plan 31,Bronze,PPO,Individual,No,No,No,No,No,Yes,Yes,No,Yes,89.7%,PA,FLS001,FLN001,000031,No,Yes
32,Plan 32,Gold,HMO,Individual,Yes,No,No,Yes,Yes,No,No,No,No,66.8%,OH,OHS001,TXN001,000032,Yes,No
33,Plan 33,Gold,HMO,Child-only,No,Yes,No,Yes,Yes,No,No,No,Yes,68.4%,GA,PAS001,NCN001,000033,No,No
34,Plan 34,Platinum,EPO,Family,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,65.9%,GA,FLS001,TXN001,000034,Yes,Yes
35,Plan 35,Gold,PPO,Individual,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,82.5%,CA,MIS001,CAN001,000035,No,No
36,Plan 36,Silver,EPO,Family,Yes,No,Yes,No,No,No,No,Yes,No,60.5%,OH,FLS001,CAN001,000036,No,No
37,Plan 37,Bronze,PPO,Family,Yes,Yes,No,No,No,Yes,Yes,No,Yes,60.4%,MI,ILS001,ILN001,000037,Yes,Yes
38,Plan 38,Bronze,PPO,Individual,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,89.4%,NC,TXS001,OHN001,000038,No,No
39,Plan 39,Bronze,HMO,Individual,No,No,Yes,Yes,Yes,Yes,No,Yes,No,64.1%,MI,TXS001,GAN001,000039,No,Yes
40,Plan 40,Platinum,PPO,Child-only,No,No,No,No,No,Yes,No,Yes,Yes,68.7%,IL,NYS001,CAN001,000040,No,No
41,Plan 41,Gold,PPO,Family,Yes,Yes,Yes,No,No,No,No,Yes,Yes,85.3%,TX,ILS001,FLN001,000041,No,No
42,Plan 42,Gold,EPO,Child-only,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,76.6%,MI,NYS001,ILN001,000042,Yes,No
43,Plan 43,Platinum,PPO,Child-only,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,64.7%,TX,TXS001,MIN001,000043,Yes,Yes
44,Plan 44,Silver,PPO,Family,No,Yes,Yes,No,No,Yes,Yes,No,No,76.1%,TX,MIS001,OHN001,000044,No,No
45,Plan 45,Silver,PPO,Family,No,No,Yes,Yes,No,No,Yes,No,Yes,64.6%,NY,TXS001,MIN001,000045,Yes,No
46,Plan 46,Platinum,HMO,Individual,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,88.3%,CA,NYS001,FLN001,000046,Yes,Yes
47,Plan 47,Gold,HMO,Individual,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,77.0%,OH,TXS001,GAN001,000047,Yes,No
48,Plan 48,Bronze,EPO,Child-only,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,85.3%,PA,NYS001,CAN001,000048,No,Yes
49,Plan 49,Platinum,HMO,Family,No,No,Yes,Yes,Yes,Yes,No,Yes,No,87.2%,CA,CAS001,NYN001,000049,Yes,Yes
50,Plan 50,Platinum,EPO,Individual,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,80.5%,CA,NYS001,GAN001,000050,Yes,No
51,Plan 51,Gold,PPO,Child-only,No,No,Yes,Yes,Yes,Yes,Yes,No,No,89.9%,OH,NYS001,GAN001,000051,No,No
52,Plan 52,Bronze,PPO,Family,Yes,Yes,No,No,No,No,Yes,Yes,Yes,73.0%,NY,PAS001,CAN001,000052,Yes,No
53,Plan 53,Silver,PPO,Family,No,Yes,No,Yes,Yes,No,No,No,Yes,76.7%,PA,NYS001,MIN001,000053,Yes,Yes
54,Plan 54,Platinum,PPO,Child-only,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,79.2%,PA,TXS001,MIN001,000054,Yes,No
55,Plan 55,Platinum,PPO,Individual,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,82.7%,TX,MIS001,CAN001,000055,No,Yes
56,Plan 56,Platinum,HMO,Child-only,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,80.2%,FL,CAS001,FLN001,000056,Yes,Yes
57,Plan 57,Bronze,EPO,Child-only,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,78.3%,PA,PAS001,CAN001,000057,Yes,Yes
58,Plan 58,Silver,HMO,Individual,No,Yes,Yes,No,Yes,Yes,No,No,Yes,78.6%,NY,NYS001,NYN001,000058,Yes,Yes
59,Plan 59,Gold,EPO,Family,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,77.9%,FL,CAS001,OHN001,000059,Yes,Yes
60,Plan 60,Platinum,EPO,Family,No,Yes,No,No,Yes,No,No,Yes,Yes,77.3%,NY,FLS001,PAN001,000060,No,Yes
61,Plan 61,Silver,HMO,Child-only,No,No,No,Yes,Yes,Yes,Yes,No,No,86.4%,IL,ILS001,FLN001,000061,No,Yes
62,Plan 62,Silver,EPO,Child-only,No,Yes,No,No,Yes,Yes,Yes,No,No,64.2%,NY,GAS001,FLN001,000062,Yes,No
63,Plan 63,Bronze,EPO,Individual,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,85.4%,IL,TXS001,GAN001,000063,No,Yes
64,Plan 64,Gold,PPO,Individual,Yes,Yes,No,Yes,No,No,Yes,No,Yes,88.7%,TX,CAS001,TXN001,000064,Yes,Yes
65,Plan 65,Platinum,HMO,Family,Yes,No,Yes,No,No,No,Yes,No,Yes,89.8%,NY,MIS001,NCN001,000065,Yes,No
66,Plan 66,Platinum,EPO,Family,No,No,Yes,No,No,Yes,No,No,Yes,63.5%,GA,GAS001,TXN001,000066,No,No
67,Plan 67,Platinum,EPO,Family,No,No,Yes,Yes,No,No,Yes,No,Yes,79.1%,OH,GAS001,GAN001,000067,Yes,No
68,Plan 68,Silver,EPO,Family,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,86.1%,PA,ILS001,FLN001,000068,Yes,No
69,Plan 69,Bronze,EPO,Child-only,No,Yes,No,No,Yes,Yes,No,Yes,Yes,73.2%,NC,ILS001,TXN001,000069,Yes,No
70,Plan 70,Gold,PPO,Family,Yes,No,Yes,Yes,No,Yes,No,Yes,No,72.2%,PA,NYS001,MIN001,000070,No,No
71,Plan 71,Gold,HMO,Child-only,Yes,Yes,No,No,Yes,No,Yes,No,No,75.5%,NY,MIS001,OHN001,000071,No,Yes
72,Plan 72,Bronze,PPO,Individual,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,65.1%,TX,NCS001,TXN001,000072,Yes,Yes
73,Plan 73,Gold,EPO,Child-only,Yes,No,No,Yes,Yes,Yes,No,No,No,65.7%,FL,OHS001,NYN001,000073,Yes,No
74,Plan 74,Gold,HMO,Individual,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,75.0%,CA,GAS001,ILN001,000074,No,Yes
75,Plan 75,Platinum,EPO,Individual,No,No,Yes,No,Yes,Yes,Yes,No,Yes,82.3%,CA,OHS001,FLN001,000075,No,No
76,Plan 76,Silver,PPO,Child-only,No,No,No,Yes,Yes,No,Yes,Yes,No,63.1%,PA,OHS001,TXN001,000076,Yes,No
77,Plan 77,Bronze,HMO,Family,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,63.6%,OH,FLS001,CAN001,000077,No,No
78,Plan 78,Silver,HMO,Family,No,Yes,Yes,No,Yes,No,No,Yes,Yes,74.4%,CA,GAS001,CAN001,000078,Yes,Yes
79,Plan 79,Silver,EPO,Family,Yes,Yes,No,No,No,Yes,Yes,No,Yes,71.1%,FL,OHS001,ILN001,000079,Yes,Yes
80,Plan 80,Platinum,EPO,Child-only,Yes,No,Yes,No,Yes,No,No,No,No,82.3%,FL,FLS001,CAN001,000080,No,No
81,Plan 81,Silver,EPO,Family,Yes,Yes,Yes,No,No,Yes,No,No,No,87.0%,IL,PAS001,GAN001,000081,Yes,No
82,Plan 82,Platinum,EPO,Individual,No,No,No,No,Yes,No,No,Yes,No,61.9%,IL,CAS001,MIN001,000082,No,No
83,Plan 83,Platinum,PPO,Individual,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,71.5%,OH,TXS001,NYN001,000083,Yes,No
84,Plan 84,Bronze,PPO,Individual,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,60.1%,GA,ILS001,OHN001,000084,No,Yes
85,Plan 85,Bronze,EPO,Individual,Yes,No,Yes,No,No,No,Yes,Yes,No,61.7%,GA,NYS001,FLN001,000085,Yes,Yes
86,Plan 86,Platinum,HMO,Family,No,Yes,No,No,Yes,No,Yes,Yes,Yes,84.7%,NY,PAS001,ILN001,000086,Yes,No
87,Plan 87,Silver,EPO,Individual,Yes,Yes,No,Yes,No,No,No,No,Yes,62.6%,GA,ILS001,PAN001,000087,No,Yes
88,Plan 88,Silver,HMO,Individual,Yes,No,No,No,No,Yes,No,Yes,Yes,79.0%,IL,MIS001,NCN001,000088,No,No
89,Plan 89,Silver,HMO,Child-only,No,Yes,Yes,No,No,Yes,Yes,Yes,No,64.7%,PA,ILS001,OHN001,000089,Yes,No
90,Plan 90,Silver,PPO,Family,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,85.1%,MI,TXS001,NYN001,000090,No,Yes
91,Plan 91,Bronze,PPO,Family,No,No,Yes,No,No,Yes,No,No,Yes,87.8%,NY,FLS001,FLN001,000091,No,No
92,Plan 92,Platinum,EPO,Family,No,Yes,Yes,Yes,Yes,Yes,No,No,No,84.9%,NY,GAS001,FLN001,000092,No,No
93,Plan 93,Gold,PPO,Child-only,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,70.1%,FL,FLS001,PAN001,000093,No,Yes
94,Plan 94,Silver,PPO,Family,Yes,Yes,Yes,No,No,No,No,Yes,Yes,70.0%,MI,GAS001,NCN001,000094,No,No
95,Plan 95,Gold,PPO,Individual,No,Yes,Yes,No,No,Yes,No,No,Yes,85.9%,CA,ILS001,NYN001,000095,Yes,No
96,Plan 96,Bronze,HMO,Child-only,No,Yes,Yes,No,No,Yes,Yes,No,Yes,64.9%,OH,CAS001,TXN001,000096,Yes,No
97,Plan 97,Platinum,PPO,Child-only,Yes,Yes,No,No,No,No,Yes,Yes,No,76.5%,TX,TXS001,NCN001,000097,No,Yes
98,Plan 98,Bronze,EPO,Family,No,Yes,Yes,No,Yes,No,No,Yes,No,62.1%,IL,MIS001,NYN001,000098,No,No
99,Plan 99,Platinum,PPO,Family,Yes,No,No,No,No,No,Yes,No,Yes,80.6%,NY,PAS001,NYN001,000099,Yes,Yes
100,Plan 100,Bronze,EPO,Individual,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,85.9%,FL,MIS001,NCN001,000100,Yes,No
101,Plan 101,Bronze,EPO,Family,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,67.2%,NC,NYS001,ILN001,000101,No,No
102,Plan 102,Bronze,EPO,Individual,Yes,No,No,No,No,No,No,No,No,70.7%,IL,PAS001,ILN001,000102,No,No
103,Plan 103,Gold,HMO,Child-only,No,No,Yes,Yes,No,Yes,Yes,No,No,66.2%,PA,MIS001,FLN001,000103,Yes,Yes
104,Plan 104,Platinum,PPO,Child-only,Yes,Yes,No,No,No,Yes,No,No,No,60.1%,NY,GAS001,PAN001,000104,Yes,No
105,Plan 105,Bronze,EPO,Family,Yes,No,Yes,No,No,No,No,Yes,No,67.7%,NY,PAS001,NCN001,000105,Yes,No
106,Plan 106,Bronze,HMO,Individual,No,Yes,Yes,No,No,No,No,No,Yes,63.8%,CA,CAS001,NYN001,000106,Yes,Yes
107,Plan 107,Bronze,HMO,Family,No,No,Yes,Yes,Yes,Yes,No,No,Yes,82.7%,IL,MIS001,TXN001,000107,No,Yes
108,Plan 108,Silver,EPO,Individual,Yes,No,Yes,Yes,No,No,No,No,Yes,69.1%,GA,OHS001,PAN001,000108,No,Yes
109,Plan 109,Silver,EPO,Individual,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,86.9%,NY,OHS001,ILN001,000109,Yes,Yes
110,Plan 110,Silver,PPO,Family,No,Yes,Yes,No,Yes,No,Yes,No,Yes,64.8%,OH,OHS001,PAN001,000110,No,Yes
111,Plan 111,Silver,PPO,Individual,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,84.3%,GA,FLS001,CAN001,000111,Yes,No
112,Plan 112,Platinum,HMO,Child-only,Yes,Yes,Yes,Yes,No,No,Yes,No,No,89.0%,NC,NCS001,TXN001,000112,No,No
113,Plan 113,Platinum,PPO,Family,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,67.1%,GA,NCS001,CAN001,000113,Yes,No
114,Plan 114,Bronze,PPO,Individual,Yes,Yes,No,No,No,Yes,No,No,No,64.0%,TX,TXS001,FLN001,000114,No,No
115,Plan 115,Gold,PPO,Family,No,Yes,No,Yes,No,Yes,No,No,Yes,88.9%,TX,GAS001,MIN001,000115,No,No
116,Plan 116,Gold,EPO,Family,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,85.7%,GA,NCS001,TXN001,000116,No,No
117,Plan 117,Silver,PPO,Individual,No,No,Yes,Yes,Yes,No,Yes,Yes,No,68.5%,FL,TXS001,NCN001,000117,No,Yes
118,Plan 118,Bronze,PPO,Individual,Yes,Yes,No,No,No,No,Yes,Yes,Yes,73.8%,CA,PAS001,NCN001,000118,Yes,No
119,Plan 119,Bronze,EPO,Individual,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,85.2%,TX,GAS001,NCN001,000119,No,Yes
120,Plan 120,Bronze,HMO,Family,Yes,No,Yes,No,Yes,Yes,No,Yes,No,76.6%,OH,FLS001,TXN001,000120,No,No
121,Plan 121,Bronze,PPO,Family,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,78.7%,NC,NYS001,OHN001,000121,Yes,Yes
122,Plan 122,Bronze,PPO,Child-only,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,61.0%,IL,ILS001,CAN001,000122,Yes,No
123,Plan 123,Gold,PPO,Family,No,No,Yes,No,Yes,No,Yes,No,No,80.5%,FL,FLS001,OHN001,000123,No,Yes
124,Plan 124,Silver,PPO,Child-only,No,Yes,No,No,Yes,No,No,Yes,No,60.0%,NY,OHS001,GAN001,000124,No,Yes
125,Plan 125,Gold,EPO,Family,Yes,No,Yes,No,Yes,Yes,No,Yes,No,73.4%,FL,ILS001,NCN001,000125,No,No
126,Plan 126,Silver,HMO,Individual,Yes,No,No,Yes,No,Yes,No,No,No,60.7%,MI,CAS001,CAN001,000126,No,Yes
127,Plan 127,Bronze,HMO,Family,No,Yes,No,No,No,No,No,Yes,No,83.6%,NY,GAS001,NCN001,000127,No,Yes
128,Plan 128,Bronze,HMO,Family,Yes,No,No,Yes,Yes,No,No,Yes,Yes,86.2%,OH,OHS001,GAN001,000128,Yes,Yes
129,Plan 129,Bronze,HMO,Family,No,No,No,No,No,No,No,No,Yes,67.0%,NY,MIS001,PAN001,000129,No,No
130,Plan 130,Platinum,EPO,Individual,No,No,Yes,No,Yes,No,Yes,Yes,No,69.1%,TX,MIS001,GAN001,000130,No,No
131,Plan 131,Platinum,EPO,Individual,No,No,Yes,Yes,No,No,Yes,No,No,71.7%,FL,NYS001,CAN001,000131,Yes,Yes
132,Plan 132,Silver,HMO,Child-only,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,60.4%,GA,GAS001,ILN001,000132,Yes,Yes
133,Plan 133,Gold,EPO,Child-only,No,No,Yes,No,Yes,No,Yes,No,No,73.5%,OH,TXS001,CAN001,000133,Yes,Yes
134,Plan 134,Gold,HMO,Child-only,Yes,No,No,No,No,Yes,No,Yes,Yes,62.9%,PA,ILS001,NYN001,000134,No,No
135,Plan 135,Gold,EPO,Individual,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,73.1%,FL,TXS001,ILN001,000135,Yes,Yes
136,Plan 136,Bronze,HMO,Family,Yes,No,No,Yes,No,Yes,Yes,Yes,No,89.5%,FL,MIS001,OHN001,000136,No,No
137,Plan 137,Platinum,HMO,Family,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,80.0%,NY,NCS001,NYN001,000137,No,No
138,Plan 138,Silver,EPO,Family,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,86.7%,IL,GAS001,MIN001,000138,Yes,No
139,Plan 139,Silver,EPO,Family,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,66.7%,TX,FLS001,GAN001,000139,No,Yes
140,Plan 140,Gold,EPO,Child-only,Yes,No,No,No,No,Yes,No,Yes,Yes,71.7%,PA,CAS001,OHN001,000140,Yes,Yes
141,Plan 141,Silver,PPO,Child-only,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,86.6%,NY,ILS001,OHN001,000141,No,No
142,Plan 142,Platinum,PPO,Family,No,No,No,Yes,No,No,No,Yes,No,66.7%,PA,CAS001,TXN001,000142,Yes,Yes
143,Plan 143,Bronze,PPO,Individual,Yes,No,Yes,Yes,Yes,No,No,No,Yes,79.0%,GA,MIS001,NYN001,000143,No,Yes
144,Plan 144,Gold,EPO,Family,No,No,No,No,No,Yes,No,Yes,No,76.1%,MI,NYS001,NYN001,000144,No,No
145,Plan 145,Gold,EPO,Child-only,Yes,No,No,Yes,Yes,No,Yes,No,Yes,79.2%,GA,NYS001,MIN001,000145,No,No
146,Plan 146,Gold,PPO,Child-only,No,Yes,No,Yes,Yes,No,No,Yes,No,86.2%,NC,MIS001,TXN001,000146,No,No
147,Plan 147,Bronze,HMO,Family,No,No,Yes,Yes,No,No,Yes,No,No,87.3%,PA,NCS001,PAN001,000147,Yes,Yes
148,Plan 148,Bronze,EPO,Individual,Yes,No,Yes,No,No,No,No,No,Yes,67.4%,FL,ILS001,ILN001,000148,Yes,No
149,Plan 149,Platinum,EPO,Child-only,No,No,No,Yes,Yes,No,Yes,Yes,Yes,81.7%,MI,FLS001,ILN001,000149,No,No
150,Plan 150,Gold,EPO,Individual,No,No,No,No,No,No,No,No,No,63.3%,NY,TXS001,MIN001,000150,No,Yes
151,Plan 151,Bronze,PPO,Family,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,73.2%,CA,PAS001,NYN001,000151,No,No
152,Plan 152,Gold,HMO,Individual,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,67.2%,MI,CAS001,PAN001,000152,No,Yes
153,Plan 153,Platinum,PPO,Individual,No,No,Yes,Yes,Yes,No,Yes,No,No,61.0%,OH,NYS001,MIN001,000153,Yes,No
154,Plan 154,Gold,EPO,Family,No,No,Yes,No,Yes,Yes,Yes,No,No,77.9%,NC,PAS001,PAN001,000154,No,Yes
155,Plan 155,Silver,HMO,Individual,No,No,Yes,No,Yes,No,Yes,No,No,74.9%,NC,OHS001,PAN001,000155,No,No
156,Plan 156,Bronze,EPO,Child-only,No,No,Yes,Yes,Yes,No,No,No,Yes,84.1%,PA,MIS001,CAN001,000156,No,No
157,Plan 157,Silver,PPO,Child-only,No,No,No,Yes,No,No,Yes,No,No,60.8%,NC,NCS001,NCN001,000157,Yes,No
158,Plan 158,Silver,PPO,Family,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,81.2%,NC,CAS001,TXN001,000158,Yes,Yes
159,Plan 159,Silver,HMO,Family,Yes,No,Yes,No,No,No,No,No,Yes,73.7%,NY,TXS001,GAN001,000159,No,No
160,Plan 160,Silver,PPO,Child-only,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,71.4%,OH,ILS001,OHN001,000160,No,Yes
161,Plan 161,Bronze,HMO,Individual,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,67.0%,PA,CAS001,ILN001,000161,Yes,No
162,Plan 162,Gold,PPO,Child-only,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,64.0%,OH,NCS001,FLN001,000162,No,No
163,Plan 163,Silver,PPO,Family,No,No,Yes,Yes,Yes,No,Yes,No,No,68.1%,NC,ILS001,FLN001,000163,Yes,No
164,Plan 164,Platinum,EPO,Child-only,No,No,No,Yes,No,No,No,Yes,No,86.4%,CA,MIS001,MIN001,000164,Yes,Yes
165,Plan 165,Gold,HMO,Child-only,No,Yes,No,No,No,No,No,No,Yes,70.7%,FL,OHS001,FLN001,000165,Yes,No
166,Plan 166,Gold,PPO,Individual,Yes,No,Yes,No,Yes,Yes,No,No,No,70.9%,MI,CAS001,FLN001,000166,Yes,No
167,Plan 167,Bronze,HMO,Individual,No,No,No,No,Yes,No,Yes,No,Yes,69.0%,NC,NCS001,MIN001,000167,Yes,Yes
168,Plan 168,Silver,PPO,Child-only,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,60.8%,NC,FLS001,NYN001,000168,Yes,Yes
169,Plan 169,Silver,EPO,Individual,No,No,Yes,No,No,No,Yes,No,Yes,68.3%,TX,NYS001,GAN001,000169,Yes,No
170,Plan 170,Gold,EPO,Family,Yes,Yes,Yes,Yes,No,No,Yes,No,No,67.2%,OH,ILS001,TXN001,000170,Yes,Yes
171,Plan 171,Bronze,HMO,Family,No,No,No,Yes,Yes,No,No,Yes,No,69.9%,MI,CAS001,PAN001,000171,No,Yes
172,Plan 172,Silver,PPO,Individual,Yes,Yes,No,Yes,No,Yes,No,No,Yes,87.8%,PA,FLS001,ILN001,000172,No,Yes
173,Plan 173,Silver,HMO,Family,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,77.6%,IL,NCS001,MIN001,000173,No,Yes
174,Plan 174,Bronze,EPO,Child-only,Yes,Yes,No,No,Yes,No,Yes,No,Yes,72.0%,PA,NCS001,MIN001,000174,Yes,Yes
175,Plan 175,Gold,EPO,Child-only,No,No,No,No,Yes,Yes,Yes,No,Yes,74.9%,FL,FLS001,FLN001,000175,No,Yes
176,Plan 176,Platinum,HMO,Family,No,Yes,Yes,Yes,No,Yes,No,Yes,No,72.4%,PA,NCS001,MIN001,000176,Yes,No
177,Plan 177,Gold,PPO,Family,No,No,No,No,Yes,Yes,Yes,No,No,73.4%,MI,PAS001,TXN001,000177,No,Yes
178,Plan 178,Platinum,PPO,Individual,No,No,Yes,Yes,Yes,No,Yes,Yes,No,71.9%,FL,NYS001,OHN001,000178,Yes,Yes
179,Plan 179,Bronze,HMO,Individual,Yes,No,No,No,No,No,Yes,Yes,Yes,60.6%,NY,TXS001,CAN001,000179,Yes,Yes
180,Plan 180,Silver,EPO,Family,Yes,No,Yes,Yes,No,No,Yes,No,No,72.0%,GA,NYS001,NYN001,000180,No,No
181,Plan 181,Bronze,PPO,Child-only,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,65.1%,NY,PAS001,ILN001,000181,No,No
182,Plan 182,Bronze,HMO,Family,Yes,No,Yes,Yes,No,No,Yes,No,No,60.7%,FL,TXS001,NCN001,000182,Yes,Yes
